{ 0, 0.403994, 0.9944468}
33
{ -0.83, -2.18 }
{ -1.31, -1.57 }
{ -1.82, -0.58 }
{ -1.76, 0.16 }
{ -1.44, 1.15 }
{ -0.67, 1.50 }
{ 0.42, 1.76 }
{ 1.44, 1.31 }
{ 1.73, 0.48 }
{ 1.70, -0.64 }
{ 1.28, -1.54 }
{ 0.19, -2.02 }
{ -0.93, -2.08 }
{ -0.13, -0.26 }
{ 0.77, -1.76 }
{ -0.06, -2.08 }
{ -0.03, -0.42 }
{ -1.44, -0.42 }
{ 1.70, -0.42 }
{ -1.92, -0.58 }
{ -0.19, -0.32 }
{ -1.12, 0.86 }
{ 0.00, -0.42 }
{ 0.32, 1.66 }
{ -0.03, -0.45 }
{ -0.35, 1.34 }
{ -0.19, -0.45 }
{ 1.63, 0.54 }
{ -0.22, -0.42 }
{ -1.73, -0.42 }
{ -0.06, -0.48 }
{ -3.04, -2.18 }
{ -0.13, -0.35 }
